feature,mean_importance,std_importance,mean_rank
f0,0.000000,0.000000,784.00
f1,0.000000,0.000000,724.00
f2,0.000000,0.000000,723.00
f3,0.000000,0.000000,728.00
f4,0.000000,0.000000,727.00
f5,0.000000,0.000000,730.00
f6,0.000000,0.000000,731.00
f7,0.000000,0.000000,732.33
f8,0.000000,0.000000,730.67
f9,0.000000,0.000000,736.00
f10,0.000000,0.000000,730.33
f11,0.000000,0.000000,730.33
f12,0.000000,0.000000,728.33
f13,0.000000,0.000000,734.00
f14,0.000000,0.000000,735.00
f15,0.000000,0.000000,738.00
f16,0.000000,0.000000,739.33
f17,0.000000,0.000000,734.67
f18,0.000000,0.000000,732.00
f19,0.000000,0.000000,731.67
f20,0.000000,0.000000,721.33
f21,0.000000,0.000000,719.33
f22,0.000000,0.000000,718.33
f23,0.000000,0.000000,714.33
f24,0.000000,0.000000,715.33
f25,0.000000,0.000000,729.33
f26,0.000000,0.000000,721.67
f27,0.000000,0.000000,733.33
f28,0.000000,0.000000,731.00
f29,0.000000,0.000000,731.33
f30,0.000000,0.000000,731.67
f31,0.000000,0.000000,736.67
f32,0.000000,0.000000,733.33
f33,0.000000,0.000000,736.33
f34,0.000000,0.000000,742.67
f35,0.000000,0.000000,751.33
f36,0.000000,0.000000,760.33
f37,0.000000,0.000000,764.67
f38,0.000000,0.000000,762.67
f39,0.000000,0.000000,770.00
f40,0.000000,0.000000,771.00
f41,0.000000,0.000000,772.00
f42,0.000000,0.000000,773.00
f43,0.000000,0.000000,774.00
f44,0.000000,0.000000,775.00
f45,0.000000,0.000000,776.00
f46,0.000000,0.000000,777.33
f47,0.000000,0.000000,768.33
f48,0.003409,0.000515,72.00
f49,0.005802,0.001264,40.33
f50,0.005621,0.001446,42.67
f51,0.020190,0.002173,2.00
f52,0.018244,0.000645,3.33
f53,0.017528,0.000411,5.00
f54,0.019796,0.001195,2.67
f55,0.017842,0.000866,4.33
f56,0.000000,0.000000,763.67
f57,0.000000,0.000000,779.00
f58,0.000000,0.000000,772.00
f59,0.014526,0.000960,8.67
f60,0.001446,0.000648,182.00
f61,0.000087,0.000014,665.33
